date,sales,price,advertising_cost
2023-06-14,145,67,1644
2023-06-15,199,43,988
2023-06-16,118,41,1219
2023-06-17,185,43,1833
2023-06-18,96,62,1940
2023-06-19,80,44,1767
2023-06-20,172,60,1727
2023-06-21,112,61,1863
2023-06-22,146,43,1794
2023-06-23,152,45,1315
2023-06-24,57,43,1847
2023-06-25,196,52,1637
2023-06-26,150,50,1337
2023-06-27,169,46,1959
2023-06-28,88,50,1911
2023-06-29,114,64,974
2023-06-30,74,61,885
2023-07-01,181,65,1834
2023-07-02,164,46,1713
2023-07-03,119,49,1036
2023-07-04,71,53,907
2023-07-05,153,66,1217
2023-07-06,135,61,1652
2023-07-07,127,50,1096
2023-07-08,117,49,850
2023-07-09,174,60,1742
2023-07-10,193,67,1251
2023-07-11,175,42,1319
2023-07-12,137,54,1344
2023-07-13,150,64,1225
2023-07-14,61,64,1406
2023-07-15,158,63,1577
2023-07-16,111,59,868
2023-07-17,128,45,1459
2023-07-18,96,55,1446
2023-07-19,138,42,1678
2023-07-20,114,49,1106
2023-07-21,115,40,1922
2023-07-22,152,57,1710
2023-07-23,117,50,986
2023-07-24,182,40,1528
2023-07-25,81,60,1224
2023-07-26,177,44,1111
2023-07-27,105,52,1624
2023-07-28,102,58,1420
2023-07-29,120,52,1297
2023-07-30,180,64,1560
2023-07-31,191,68,1066
2023-08-01,176,64,1171
2023-08-02,137,61,1872
2023-08-03,55,61,1159
2023-08-04,142,57,1580
2023-08-05,115,45,1935
2023-08-06,119,49,1059
2023-08-07,80,66,1070
2023-08-08,143,45,1362
2023-08-09,88,45,1269
2023-08-10,171,45,1037
2023-08-11,90,48,877
2023-08-12,157,53,1201
2023-08-13,153,68,923
2023-08-14,61,42,1402
2023-08-15,163,67,913
2023-08-16,109,68,1710
2023-08-17,181,58,1379
2023-08-18,59,44,1333
2023-08-19,132,61,879
2023-08-20,75,62,1463
2023-08-21,195,58,1823
2023-08-22,107,58,1389
2023-08-23,137,41,1205
2023-08-24,159,66,1245
2023-08-25,83,44,1025
2023-08-26,117,61,1005
2023-08-27,53,62,1899
2023-08-28,100,68,901
2023-08-29,131,43,889
2023-08-30,176,52,1687
2023-08-31,124,65,1316
2023-09-01,189,67,1137
2023-09-02,119,48,1200
2023-09-03,161,51,1802
2023-09-04,114,55,966
2023-09-05,195,41,1023
2023-09-06,149,62,980
2023-09-07,81,44,1937
2023-09-08,120,41,1670
2023-09-09,162,44,861
2023-09-10,99,62,1553
2023-09-11,154,42,1183
2023-09-12,92,63,1804
2023-09-13,63,63,1724
2023-09-14,183,57,1067
2023-09-15,139,55,1583
2023-09-16,188,63,1072
2023-09-17,131,50,1398
2023-09-18,108,54,830
2023-09-19,74,59,1377
2023-09-20,98,56,1166
2023-09-21,68,63,1046
2023-09-22,153,63,1401
2023-09-23,59,45,1398
2023-09-24,99,64,1043
2023-09-25,186,62,1323
2023-09-26,89,60,1591
2023-09-27,57,48,1360
2023-09-28,159,45,1959
2023-09-29,165,59,1240
2023-09-30,94,67,1499
2023-10-01,93,40,1161
2023-10-02,125,48,1902
2023-10-03,186,51,965
2023-10-04,79,40,1554
2023-10-05,146,47,1191
2023-10-06,81,67,1833
2023-10-07,150,57,1116
2023-10-08,168,40,1242
2023-10-09,139,40,942
2023-10-10,181,65,1351
2023-10-11,140,56,955
2023-10-12,196,61,1463
2023-10-13,124,60,1742
2023-10-14,150,49,1994
2023-10-15,93,54,1902
2023-10-16,57,53,1101
2023-10-17,103,68,1816
2023-10-18,55,54,1496
2023-10-19,98,54,952
2023-10-20,133,41,1914
2023-10-21,157,57,1645
2023-10-22,183,58,1919
2023-10-23,92,62,833
2023-10-24,51,63,1037
2023-10-25,197,59,1277
2023-10-26,67,48,1002
2023-10-27,144,57,1923
2023-10-28,157,60,1425
2023-10-29,184,40,869
2023-10-30,183,67,1562
2023-10-31,163,53,1007
2023-11-01,75,47,1295
2023-11-02,80,67,1140
2023-11-03,120,69,1622
2023-11-04,61,65,927
2023-11-05,74,65,1460
2023-11-06,168,57,1384
2023-11-07,118,62,1301
2023-11-08,136,62,1403
2023-11-09,90,53,851
2023-11-10,199,66,1102
2023-11-11,101,69,1752
2023-11-12,188,57,1044
2023-11-13,138,54,1689
2023-11-14,93,48,815
2023-11-15,151,61,982
2023-11-16,149,42,1945
2023-11-17,162,65,1890
2023-11-18,96,62,877
2023-11-19,103,42,1576
2023-11-20,79,63,1832
2023-11-21,66,59,1547
2023-11-22,182,41,1865
2023-11-23,107,41,1455
2023-11-24,69,65,1151
2023-11-25,118,69,1876
2023-11-26,60,52,1438
2023-11-27,186,46,1039
2023-11-28,197,50,1754
2023-11-29,97,42,1175
2023-11-30,83,63,1759
2023-12-01,87,65,1994
2023-12-02,179,44,894
2023-12-03,88,68,1502
2023-12-04,111,42,1754
2023-12-05,102,41,1301
2023-12-06,90,61,1312
2023-12-07,167,58,1300
2023-12-08,95,48,818
2023-12-09,119,40,852
2023-12-10,78,63,989
2023-12-11,133,61,804
2023-12-12,156,43,1837
2023-12-13,184,65,1407
2023-12-14,192,67,1893
2023-12-15,90,45,1814
2023-12-16,105,63,1041
2023-12-17,119,69,910
2023-12-18,107,44,1091
2023-12-19,152,43,1496
2023-12-20,91,48,1526
2023-12-21,94,61,1556
2023-12-22,60,53,1079
2023-12-23,105,40,1546
2023-12-24,171,49,1412
2023-12-25,107,60,1113
2023-12-26,61,57,935
2023-12-27,145,50,1161
2023-12-28,120,63,1007
2023-12-29,136,52,1168
2023-12-30,192,69,1879
2023-12-31,139,40,1936
2024-01-01,67,46,1486
2024-01-02,137,49,1142
2024-01-03,95,50,1545
2024-01-04,110,45,1069
2024-01-05,95,53,1161
2024-01-06,150,45,1252
2024-01-07,177,67,1128
2024-01-08,165,66,1295
2024-01-09,152,54,1006
2024-01-10,179,46,959
2024-01-11,194,55,1727
2024-01-12,119,42,983
2024-01-13,194,43,1635
2024-01-14,143,53,1896
2024-01-15,75,48,1557
2024-01-16,178,48,1112
2024-01-17,179,42,1962
2024-01-18,177,50,873
2024-01-19,99,44,1969
2024-01-20,176,64,889
2024-01-21,78,54,1951
2024-01-22,138,51,1695
2024-01-23,85,41,1176
2024-01-24,121,46,1051
2024-01-25,98,53,1677
2024-01-26,134,66,1551
2024-01-27,65,46,1280
2024-01-28,108,62,1824
2024-01-29,140,69,1894
2024-01-30,105,40,1373
2024-01-31,129,68,1382
2024-02-01,195,62,862
2024-02-02,90,50,1454
2024-02-03,179,48,1787
2024-02-04,196,65,1915
2024-02-05,173,56,952
2024-02-06,71,55,1330
2024-02-07,122,45,1735
2024-02-08,115,48,1211
2024-02-09,193,58,892
2024-02-10,125,63,1516
2024-02-11,79,41,1209
2024-02-12,97,63,1526
2024-02-13,114,60,1337
2024-02-14,107,53,1046
2024-02-15,134,59,898
2024-02-16,143,43,1119
2024-02-17,58,53,1170
2024-02-18,124,56,890
2024-02-19,132,59,1064
2024-02-20,129,48,823
2024-02-21,55,47,1296
2024-02-22,128,47,1153
2024-02-23,145,50,965
2024-02-24,197,45,1805
2024-02-25,177,49,1442
2024-02-26,57,57,1172
2024-02-27,76,64,993
2024-02-28,118,61,1115
2024-02-29,87,49,1821
2024-03-01,136,66,1330
2024-03-02,181,46,1379
2024-03-03,170,48,1406
2024-03-04,113,43,814
2024-03-05,141,41,1912
2024-03-06,93,43,1111
2024-03-07,65,58,1969
2024-03-08,55,59,1727
2024-03-09,182,67,977
2024-03-10,92,68,1487
2024-03-11,173,48,1090
2024-03-12,55,57,1039
2024-03-13,134,49,1155
2024-03-14,195,62,1940
2024-03-15,139,51,1493
2024-03-16,191,58,1661
2024-03-17,158,42,1769
2024-03-18,101,46,1448
2024-03-19,130,44,1328
2024-03-20,150,68,991
2024-03-21,54,69,1198
2024-03-22,68,65,1722
2024-03-23,133,56,1723
2024-03-24,123,54,1911
2024-03-25,195,69,954
2024-03-26,56,65,1600
2024-03-27,156,66,1043
2024-03-28,159,65,1735
2024-03-29,91,59,1968
2024-03-30,149,52,1067
2024-03-31,146,59,1669
2024-04-01,55,55,1757
2024-04-02,107,54,1678
2024-04-03,84,47,1694
2024-04-04,67,57,1592
2024-04-05,109,40,987
2024-04-06,114,67,1792
2024-04-07,120,48,924
2024-04-08,128,55,1580
2024-04-09,60,58,1897
2024-04-10,151,61,824
2024-04-11,108,67,1655
2024-04-12,120,64,1097
2024-04-13,81,69,1579
2024-04-14,144,65,1736
2024-04-15,72,46,1899
2024-04-16,136,67,1549
2024-04-17,176,65,1251
2024-04-18,139,68,1935
2024-04-19,96,55,1047
2024-04-20,72,45,1113
2024-04-21,99,43,881
2024-04-22,193,66,1818
2024-04-23,100,48,1509
2024-04-24,181,64,1546
2024-04-25,130,66,961
2024-04-26,170,57,901
2024-04-27,98,42,895
2024-04-28,154,64,1457
2024-04-29,136,56,805
2024-04-30,108,43,1604
2024-05-01,174,67,1710
2024-05-02,133,50,1128
2024-05-03,120,48,881
2024-05-04,154,60,814
2024-05-05,170,51,916
2024-05-06,55,48,1750
2024-05-07,145,47,1441
2024-05-08,102,53,933
2024-05-09,149,63,1385
2024-05-10,107,60,856
2024-05-11,193,40,1764
2024-05-12,112,52,1796
2024-05-13,107,57,1575
2024-05-14,167,64,1365
2024-05-15,79,68,1161
2024-05-16,170,64,1505
2024-05-17,63,62,1224
2024-05-18,113,60,1231
2024-05-19,144,59,842
2024-05-20,137,46,1439
2024-05-21,82,69,1374
2024-05-22,56,44,1672
2024-05-23,197,65,958
2024-05-24,193,58,868
2024-05-25,69,50,1039
2024-05-26,60,69,1085
2024-05-27,124,52,1599
2024-05-28,175,45,1076
2024-05-29,100,63,1463
2024-05-30,125,56,1981
2024-05-31,131,64,1933
2024-06-01,160,62,1657
2024-06-02,80,61,1193
2024-06-03,59,62,997
2024-06-04,137,41,1736
2024-06-05,63,61,1283
2024-06-06,104,60,1019
2024-06-07,174,63,1925
2024-06-08,91,50,1599
2024-06-09,130,51,1707
2024-06-10,90,61,1487
2024-06-11,116,64,1953
2024-06-12,125,52,1721
2024-06-13,101,66,1820
2024-06-14,96,41,1459
2024-06-15,68,61,915
2024-06-16,57,56,1988
2024-06-17,182,47,1985
2024-06-18,138,44,1224
2024-06-19,128,61,1146
2024-06-20,59,48,1565
2024-06-21,180,52,1325
2024-06-22,121,68,1355
2024-06-23,134,67,1176
2024-06-24,176,45,1818
2024-06-25,184,53,1208
2024-06-26,146,56,1031
2024-06-27,94,51,1198
2024-06-28,56,52,850
2024-06-29,86,42,1692
2024-06-30,85,48,1956
2024-07-01,98,57,1193
2024-07-02,95,53,1080
2024-07-03,173,42,1615
2024-07-04,58,58,1905
2024-07-05,153,58,1608
2024-07-06,78,65,1272
2024-07-07,181,56,1890
2024-07-08,54,44,911
2024-07-09,191,47,1905
2024-07-10,145,57,995
2024-07-11,76,42,1721
2024-07-12,135,41,1771
2024-07-13,113,53,1067
2024-07-14,98,69,994
2024-07-15,112,68,1383
2024-07-16,74,55,1555
2024-07-17,72,53,1557
2024-07-18,92,41,1000
2024-07-19,195,58,1189
2024-07-20,58,45,1797
2024-07-21,173,49,1130
2024-07-22,72,66,833
2024-07-23,196,50,1716
2024-07-24,140,66,1745
2024-07-25,163,54,1689
2024-07-26,91,54,1973
2024-07-27,168,44,1560
2024-07-28,156,50,1304
2024-07-29,198,40,1763
2024-07-30,57,41,1711
2024-07-31,169,64,1332
2024-08-01,168,66,1924
2024-08-02,79,68,1543
2024-08-03,117,47,1936
2024-08-04,104,67,819
2024-08-05,125,46,1685
2024-08-06,199,68,1719
2024-08-07,185,45,1003
2024-08-08,159,55,1925
2024-08-09,82,59,1143
2024-08-10,60,56,816
2024-08-11,194,46,1633
2024-08-12,70,48,1371
2024-08-13,93,67,1363
2024-08-14,118,43,1627
2024-08-15,118,44,1037
2024-08-16,132,67,1090
2024-08-17,103,42,1467
2024-08-18,87,65,1072
2024-08-19,157,43,1779
2024-08-20,140,67,1573
2024-08-21,105,52,882
2024-08-22,124,59,1385
2024-08-23,114,53,1163
2024-08-24,53,41,1570
2024-08-25,79,57,1967
2024-08-26,119,64,1267
2024-08-27,137,44,1323
2024-08-28,145,61,1761
2024-08-29,161,44,834
2024-08-30,159,42,885
2024-08-31,93,47,1661
2024-09-01,106,55,830
2024-09-02,58,57,834
2024-09-03,143,54,1507
2024-09-04,50,50,1485
2024-09-05,62,68,1117
2024-09-06,79,54,829
2024-09-07,163,43,805
2024-09-08,104,40,1354
2024-09-09,82,62,1270
2024-09-10,98,58,1972
2024-09-11,145,59,1423
2024-09-12,133,51,857
2024-09-13,61,42,979
2024-09-14,58,41,823
2024-09-15,79,65,1306
2024-09-16,163,46,1409
2024-09-17,165,48,1248
2024-09-18,148,50,1503
2024-09-19,191,66,1917
2024-09-20,181,55,1734
2024-09-21,156,69,1772
2024-09-22,82,56,1991
2024-09-23,119,69,1438
2024-09-24,72,69,1256
2024-09-25,83,69,1526
2024-09-26,151,63,875
2024-09-27,92,59,1109
2024-09-28,88,60,1515
2024-09-29,93,44,1484
2024-09-30,68,44,1097
2024-10-01,55,60,1115
2024-10-02,135,69,1952
2024-10-03,137,48,1718
2024-10-04,109,63,1464
2024-10-05,168,58,1500
2024-10-06,50,65,1694
2024-10-07,107,59,898
2024-10-08,85,48,1312
2024-10-09,120,61,852
2024-10-10,191,52,921
2024-10-11,55,43,1874
2024-10-12,55,54,1747
2024-10-13,177,57,1223
2024-10-14,125,49,1067
2024-10-15,102,60,1800
2024-10-16,59,48,1076
2024-10-17,132,55,970
2024-10-18,70,58,1594
2024-10-19,73,47,1213
2024-10-20,110,60,960
2024-10-21,108,41,1674
2024-10-22,71,57,1776
2024-10-23,154,42,1673
2024-10-24,151,41,1758
2024-10-25,159,60,1016
2024-10-26,52,62,1278
2024-10-27,61,53,1748
2024-10-28,154,61,828
2024-10-29,164,50,990
2024-10-30,187,65,881
2024-10-31,199,44,884
2024-11-01,140,63,910
2024-11-02,72,54,1477
2024-11-03,154,67,924
2024-11-04,57,55,1687
2024-11-05,139,51,1656
2024-11-06,97,68,1029
2024-11-07,76,68,1673
2024-11-08,62,53,1806
2024-11-09,122,49,1235
2024-11-10,138,62,1496
2024-11-11,172,58,1518
2024-11-12,120,51,1969
2024-11-13,196,44,1371
2024-11-14,133,49,1259
2024-11-15,188,48,1470
2024-11-16,64,62,1018
2024-11-17,106,63,1318
2024-11-18,52,57,1541
2024-11-19,120,52,1106
2024-11-20,148,45,1385
2024-11-21,136,45,849
2024-11-22,61,51,1721
2024-11-23,145,42,1382
2024-11-24,104,62,1865
2024-11-25,118,47,1505
2024-11-26,50,63,1246
2024-11-27,77,51,811
2024-11-28,68,57,1175
2024-11-29,102,68,1738
2024-11-30,176,45,1751
2024-12-01,92,59,1629
2024-12-02,53,59,1697
2024-12-03,188,63,1168
2024-12-04,79,67,1424
2024-12-05,55,61,1051
2024-12-06,111,44,1528
2024-12-07,112,53,1118
2024-12-08,170,58,927
2024-12-09,126,59,1585
2024-12-10,87,47,1031
2024-12-11,56,43,1529
2024-12-12,165,47,1208
2024-12-13,153,47,1235
2024-12-14,155,69,1572
2024-12-15,103,69,1997
2024-12-16,199,48,1860
2024-12-17,71,64,1274
2024-12-18,88,62,1194
2024-12-19,160,55,1629
2024-12-20,116,43,1947
2024-12-21,109,63,1073
2024-12-22,161,57,1527
2024-12-23,124,53,1099
2024-12-24,197,69,1369
2024-12-25,183,61,1293
2024-12-26,149,60,1348
2024-12-27,99,62,1901
2024-12-28,149,51,1798
2024-12-29,152,43,1026
2024-12-30,63,42,824
2024-12-31,174,64,1720
2025-01-01,70,58,888
2025-01-02,134,69,1448
2025-01-03,169,65,1780
2025-01-04,73,69,1845
2025-01-05,198,68,1783
2025-01-06,148,47,1206
2025-01-07,116,62,963
2025-01-08,125,51,1764
2025-01-09,126,48,1897
2025-01-10,176,61,845
2025-01-11,153,47,1701
2025-01-12,64,54,1319
2025-01-13,156,69,1701
2025-01-14,66,48,1866
2025-01-15,162,42,1315
2025-01-16,117,62,998
2025-01-17,180,61,1306
2025-01-18,126,51,1525
2025-01-19,148,60,960
2025-01-20,141,64,1822
2025-01-21,131,59,1849
2025-01-22,131,41,832
2025-01-23,125,53,909
2025-01-24,62,55,1677
2025-01-25,146,60,1904
2025-01-26,94,59,1799
2025-01-27,101,40,906
2025-01-28,120,46,1754
2025-01-29,59,53,1962
2025-01-30,170,61,1128
2025-01-31,93,69,1990
2025-02-01,166,56,812
2025-02-02,150,53,1150
2025-02-03,54,50,1328
2025-02-04,169,43,1240
2025-02-05,145,51,1377
2025-02-06,84,49,1637
2025-02-07,83,44,1205
2025-02-08,83,52,1104
2025-02-09,175,48,1731
2025-02-10,151,59,1351
2025-02-11,179,44,1965
2025-02-12,70,57,906
2025-02-13,150,59,838
2025-02-14,66,40,1743
2025-02-15,55,46,1711
2025-02-16,199,47,912
2025-02-17,161,66,1567
2025-02-18,66,65,859
2025-02-19,83,43,1387
2025-02-20,125,49,1281
2025-02-21,120,69,935
2025-02-22,53,46,1477
2025-02-23,67,67,1243
2025-02-24,150,50,1163
2025-02-25,101,68,1067
2025-02-26,107,57,1999
2025-02-27,92,51,1256
2025-02-28,84,55,1563
2025-03-01,133,55,1629
2025-03-02,131,45,1336
2025-03-03,93,49,1771
2025-03-04,92,40,1704
2025-03-05,80,49,1619
2025-03-06,99,67,802
2025-03-07,126,51,1956
2025-03-08,59,52,1862
2025-03-09,157,40,1081
2025-03-10,97,42,859
2025-03-11,140,60,1351
2025-03-12,174,48,1256
2025-03-13,98,40,1427
2025-03-14,193,53,936
2025-03-15,152,50,1206
2025-03-16,167,45,1983
2025-03-17,138,57,1062
2025-03-18,139,57,1143
2025-03-19,136,57,1560
2025-03-20,95,60,1642
2025-03-21,51,40,1679
2025-03-22,160,54,884
2025-03-23,125,57,957
2025-03-24,180,45,1096
2025-03-25,168,62,1299
2025-03-26,182,40,1014
2025-03-27,65,44,1037
2025-03-28,55,52,948
2025-03-29,145,54,1920
2025-03-30,54,63,1318
2025-03-31,173,57,1761
2025-04-01,68,53,1795
2025-04-02,76,69,1650
2025-04-03,100,55,1887
2025-04-04,92,66,1272
2025-04-05,89,51,1229
2025-04-06,140,61,1754
2025-04-07,106,49,932
2025-04-08,196,65,1324
2025-04-09,69,59,1623
2025-04-10,130,42,1298
2025-04-11,70,46,1455
2025-04-12,127,45,1663
2025-04-13,96,66,1859
2025-04-14,135,43,1606
2025-04-15,159,46,1226
2025-04-16,163,67,1736
2025-04-17,139,62,879
2025-04-18,117,49,803
2025-04-19,179,52,1363
2025-04-20,122,50,1938
2025-04-21,68,42,1148
2025-04-22,170,64,1151
2025-04-23,145,54,1454
2025-04-24,143,47,1262
2025-04-25,115,63,913
2025-04-26,120,40,1470
2025-04-27,72,46,1339
2025-04-28,58,64,864
2025-04-29,63,60,1956
2025-04-30,118,69,1784
2025-05-01,197,48,1263
2025-05-02,119,65,1092
2025-05-03,196,44,1174
2025-05-04,149,42,1106
2025-05-05,136,62,1823
2025-05-06,180,40,1045
2025-05-07,142,50,968
2025-05-08,86,68,1882
2025-05-09,105,41,1211
2025-05-10,64,49,1992
2025-05-11,82,40,1654
2025-05-12,120,55,962
2025-05-13,92,45,1147
2025-05-14,107,67,1846
2025-05-15,176,44,1857
2025-05-16,102,48,1786
2025-05-17,134,44,1306
2025-05-18,157,60,1111
2025-05-19,125,64,1709
2025-05-20,124,52,1622
2025-05-21,68,40,1519
2025-05-22,147,54,912
2025-05-23,56,60,1671
2025-05-24,108,62,1759
2025-05-25,81,59,1361
2025-05-26,60,55,1708
2025-05-27,67,66,1897
2025-05-28,72,47,876
2025-05-29,110,48,1379
2025-05-30,116,47,1818
2025-05-31,90,66,1356
2025-06-01,193,66,1260
2025-06-02,164,53,1115
2025-06-03,81,50,881
2025-06-04,106,48,1539
2025-06-05,172,51,1115
2025-06-06,104,58,800
2025-06-07,197,44,1482
2025-06-08,188,45,942
2025-06-09,137,59,888
2025-06-10,151,69,1323
2025-06-11,185,42,1143
2025-06-12,148,54,1085
2025-06-13,77,54,1342
2025-06-14,159,69,1394
2025-06-15,118,59,1112
2025-06-16,149,49,910
2025-06-17,103,55,1041
2025-06-18,164,45,1981
2025-06-19,128,46,1953
2025-06-20,61,64,1977
2025-06-21,57,57,1314
2025-06-22,160,42,892
2025-06-23,144,48,1480
2025-06-24,151,52,1647
2025-06-25,69,40,1284
2025-06-26,99,64,1023
2025-06-27,98,62,1651
2025-06-28,140,46,1907
2025-06-29,148,52,1822
2025-06-30,169,67,851
2025-07-01,126,49,1307
2025-07-02,158,69,1903
2025-07-03,135,50,1195
2025-07-04,124,66,1849
2025-07-05,178,40,1397
2025-07-06,132,41,1213
2025-07-07,189,41,1036
2025-07-08,77,42,856
2025-07-09,51,58,1052
2025-07-10,99,52,827
2025-07-11,171,45,1320
2025-07-12,137,47,1653
2025-07-13,72,49,1739
2025-07-14,82,46,1436
2025-07-15,110,66,1436
2025-07-16,60,45,1997
2025-07-17,79,44,1768
2025-07-18,124,40,1165
2025-07-19,84,69,1765
2025-07-20,85,57,1736
2025-07-21,89,41,1093
2025-07-22,97,59,1352
2025-07-23,165,46,1505
2025-07-24,110,63,863
2025-07-25,133,64,1555
2025-07-26,69,63,1470
2025-07-27,106,53,1618
2025-07-28,170,41,1200
2025-07-29,62,59,949
2025-07-30,167,57,1227
2025-07-31,68,65,1841
2025-08-01,79,67,1636
2025-08-02,93,40,1468
2025-08-03,83,67,847
2025-08-04,147,56,1255
2025-08-05,111,50,1914
2025-08-06,94,53,1554
2025-08-07,154,52,1112
2025-08-08,141,42,1784
2025-08-09,116,66,1044
2025-08-10,67,61,1724
2025-08-11,100,53,948
2025-08-12,146,62,1471
2025-08-13,137,68,1309
2025-08-14,111,44,1377
2025-08-15,113,54,1108
2025-08-16,54,59,1977
2025-08-17,153,61,1562
2025-08-18,102,52,825
2025-08-19,55,44,1001
2025-08-20,61,51,851
2025-08-21,132,55,1711
2025-08-22,196,65,1652
2025-08-23,60,53,1587
2025-08-24,94,40,876
2025-08-25,105,42,1603
2025-08-26,66,46,1550
2025-08-27,199,65,1451
2025-08-28,82,68,1071
2025-08-29,75,56,1714
2025-08-30,158,64,1716
2025-08-31,169,57,1557
2025-09-01,172,53,1548
2025-09-02,51,46,1708
2025-09-03,78,59,804
2025-09-04,87,45,839
2025-09-05,193,44,1000
2025-09-06,163,46,1878
2025-09-07,84,67,1534
2025-09-08,191,59,1637
2025-09-09,191,55,1022
2025-09-10,58,52,1859
2025-09-11,177,68,1622
2025-09-12,198,67,1779
2025-09-13,63,69,1228
2025-09-14,80,63,1248
2025-09-15,76,68,1535
2025-09-16,84,40,1911
2025-09-17,62,51,1764
2025-09-18,146,40,1273
2025-09-19,145,50,1774
2025-09-20,122,49,1718
2025-09-21,129,48,1390
2025-09-22,170,65,888
2025-09-23,129,41,1192
2025-09-24,85,54,1748
2025-09-25,70,41,1061
2025-09-26,149,53,1210
2025-09-27,67,57,1088
2025-09-28,64,49,832
2025-09-29,113,49,1588
2025-09-30,74,64,1872
2025-10-01,119,60,824
2025-10-02,177,55,1657
2025-10-03,159,56,1960
2025-10-04,156,46,1157
2025-10-05,143,59,1720
